days_after_transplant,treatment,ec,light,plant_height_cm,num_leaves,t_air_mean,rh_mean,co2_mean,par_lamp_daily,light_on_hours_daily,par_lamp_sum,light_on_hours,t_air_mean_7d,par_lamp_sum_7d,current_plant_height_cm,current_num_leaves,next_plant_height_cm,next_num_leaves
3.0,Cherry_EC3_HighLight,EC3,high light,8.8,5.0,25.97951388888889,61.23020833333333,438.7986111111111,55025.4755,8.0,145891.99349999998,8.0,76.74352175602175,145891.99349999998,8.8,5.0,9.540000000000001,5.266666666666667
4.0,Cherry_EC3_HighLight,EC3,high light,9.540000000000001,5.266666666666667,26.50451388888889,67.55347222222223,445.68055555555554,52344.07725,8.333333333333334,198236.07074999998,16.333333333333336,103.24803564491064,198236.07075,9.540000000000001,5.266666666666667,10.280000000000001,5.533333333333333
5.0,Cherry_EC3_HighLight,EC3,high light,10.280000000000001,5.533333333333333,26.375,69.19895833333334,450.28819444444446,51319.208,8.75,249555.27875,25.083333333333336,129.62303564491066,249555.27875,10.280000000000001,5.533333333333333,11.02,5.8
6.0,Cherry_EC3_HighLight,EC3,high light,11.02,5.8,26.960416666666667,66.94548611111111,432.14930555555554,50766.5845,8.916666666666666,300321.86325,34.0,156.5834523115773,300321.86325,11.02,5.8,11.76,6.066666666666666
7.0,Cherry_EC3_HighLight,EC3,high light,11.76,6.066666666666666,25.587152777777778,72.52256944444444,427.36805555555554,47932.5285,10.0,348254.39175,44.0,182.1706050893551,348254.39175,11.76,6.066666666666666,12.5,6.333333333333333
8.0,Cherry_EC3_HighLight,EC3,high light,12.5,6.333333333333333,23.921527777777776,79.30868055555555,419.35069444444446,38390.3995,13.75,386644.79125,57.75,181.22500000000002,341330.67825,12.5,6.333333333333333,13.24,6.6
9.0,Cherry_EC3_HighLight,EC3,high light,13.24,6.6,22.492361111111112,72.97986111111112,403.43402777777777,44400.898,9.25,431045.68925,67.0,177.8204861111111,340179.17125,13.24,6.6,14.1475,6.8
10.0,Cherry_EC3_HighLight,EC3,high light,14.1475,6.8,21.747569444444444,71.84826388888888,417.47222222222223,42366.02475,10.75,473411.714,77.75,173.58854166666669,327519.7205,14.1475,6.8,15.055,7.0
11.0,Cherry_EC3_HighLight,EC3,high light,15.055,7.0,21.83923611111111,68.82222222222222,446.9479166666667,51216.6265,9.25,524628.3404999999,87.0,168.92326388888887,326392.26975,15.055,7.0,15.9625,7.199999999999999
12.0,Cherry_EC3_HighLight,EC3,high light,15.9625,7.199999999999999,22.728472222222223,72.63611111111112,453.0625,44906.326,9.75,569534.6664999999,96.75,165.2767361111111,319979.38775,15.9625,7.199999999999999,16.87,7.3999999999999995
13.0,Cherry_EC3_HighLight,EC3,high light,16.87,7.3999999999999995,21.81736111111111,79.57430555555555,457.4826388888889,32069.86025,17.75,601604.52675,114.5,160.13368055555557,301282.6635,16.87,7.3999999999999995,17.7775,7.6
14.0,Cherry_EC3_HighLight,EC3,high light,17.7775,7.6,22.30798611111111,79.78958333333334,455.2048611111111,38305.98375,11.916666666666666,639910.5105,126.41666666666667,156.85451388888887,291656.11874999997,17.7775,7.6,18.685,7.8
15.0,Cherry_EC3_HighLight,EC3,high light,18.685,7.8,20.91111111111111,78.17743055555555,473.77777777777777,34237.617,14.5,674148.1275,140.91666666666669,153.84409722222222,287503.33625,18.685,7.8,19.5925,8.0
16.0,Cherry_EC3_HighLight,EC3,high light,19.5925,8.0,21.880555555555556,71.77013888888888,469.3541666666667,34760.42075,14.083333333333334,708908.54825,155.00000000000003,153.23229166666667,277862.859,19.5925,8.0,20.5,8.2
17.0,Cherry_EC3_HighLight,EC3,high light,20.5,8.2,21.15902777777778,81.15868055555556,487.28472222222223,29498.75,17.666666666666668,738407.29825,172.66666666666669,152.64374999999998,264995.58425,20.5,8.2,21.142857142857142,8.4
18.0,Cherry_EC3_HighLight,EC3,high light,21.142857142857142,8.4,20.334722222222222,80.81145833333333,487.44097222222223,36249.28575,13.0,774656.584,185.66666666666669,151.13923611111113,250028.24349999998,21.142857142857142,8.4,21.785714285714285,8.6
19.0,Cherry_EC3_HighLight,EC3,high light,21.785714285714285,8.6,20.60451388888889,78.80451388888889,478.06597222222223,36479.80225,13.083333333333334,811136.38625,198.75000000000003,149.01527777777778,241601.71975,21.785714285714285,8.6,22.428571428571427,8.799999999999999
20.0,Cherry_EC3_HighLight,EC3,high light,22.428571428571427,8.799999999999999,21.18263888888889,70.96701388888889,469.25,47913.4385,9.416666666666666,859049.82475,208.16666666666669,148.38055555555556,257445.298,22.428571428571427,8.799999999999999,23.071428571428573,9.0
21.0,Cherry_EC3_HighLight,EC3,high light,23.071428571428573,9.0,21.514583333333334,75.62777777777778,478.7673611111111,41240.6365,12.916666666666666,900290.46125,221.08333333333334,147.5871527777778,260379.95075,23.071428571428573,9.0,23.714285714285715,9.2
22.0,Cherry_EC3_HighLight,EC3,high light,23.714285714285715,9.2,21.754166666666666,77.19131944444445,494.03472222222223,40729.123,12.333333333333334,941019.5842500001,233.41666666666669,148.43020833333333,266871.45675,23.714285714285715,9.2,24.357142857142858,9.4
23.0,Cherry_EC3_HighLight,EC3,high light,24.357142857142858,9.4,21.913888888888888,78.24236111111111,486.5416666666667,38471.303,14.333333333333334,979490.88725,247.75000000000003,148.46354166666666,270582.339,24.357142857142858,9.4,25.0,9.6
24.0,Cherry_EC3_HighLight,EC3,high light,25.0,9.6,22.02048611111111,76.53958333333334,489.5763888888889,35842.223,16.583333333333332,1015333.11025,264.33333333333337,149.32500000000002,276925.812,25.0,9.6,25.37142857142857,9.857142857142858
25.0,Cherry_EC3_HighLight,EC3,high light,25.37142857142857,9.857142857142858,21.548958333333335,79.88229166666666,504.5138888888889,34717.4825,14.583333333333334,1050050.59275,278.9166666666667,150.5392361111111,275394.00875000004,25.37142857142857,9.857142857142858,25.742857142857144,10.114285714285714
26.0,Cherry_EC3_HighLight,EC3,high light,25.742857142857144,10.114285714285714,21.52048611111111,77.23715277777778,494.0138888888889,41018.8005,10.166666666666666,1091069.39325,289.08333333333337,151.45520833333333,279933.007,25.742857142857144,10.114285714285714,26.114285714285714,10.371428571428572
27.0,Cherry_EC3_HighLight,EC3,high light,26.114285714285714,10.371428571428572,22.91840277777778,76.35277777777777,499.94444444444446,43688.373,10.75,1134757.7662499999,299.83333333333337,153.19097222222223,275707.9415,26.114285714285714,10.371428571428572,26.485714285714288,10.628571428571428
28.0,Cherry_EC3_HighLight,EC3,high light,26.485714285714288,10.628571428571428,22.680034722222224,80.06718749999999,496.41319444444446,38022.965,11.25,1172780.73125,311.08333333333337,154.35642361111113,272490.26999999996,26.485714285714288,10.628571428571428,26.857142857142858,10.885714285714286
29.0,Cherry_EC3_HighLight,EC3,high light,26.857142857142858,10.885714285714286,21.495833333333334,80.32916666666667,494.7951388888889,32399.10125,15.0,1205179.8325,326.08333333333337,154.0980902777778,264160.24825,26.857142857142858,10.885714285714286,27.22857142857143,11.142857142857142
30.0,Cherry_EC3_HighLight,EC3,high light,27.22857142857143,11.142857142857142,20.818055555555556,79.296875,489.4583333333333,35940.1815,13.583333333333334,1241120.014,339.6666666666667,153.00225694444447,261629.12674999997,27.22857142857143,11.142857142857142,27.6,11.4
31.0,Cherry_EC3_HighLight,EC3,high light,27.6,11.4,21.148958333333333,79.07534722222222,493.30555555555554,37671.43275,13.75,1278791.44675,353.4166666666667,152.13072916666667,263458.3365,27.6,11.4,27.542857142857144,12.514285714285714
32.0,Cherry_EC3_HighLight,EC3,high light,27.542857142857144,12.514285714285714,21.428125,79.06354166666667,486.16319444444446,39212.39825,12.333333333333334,1318003.845,365.75,152.00989583333333,267953.25225,27.542857142857144,12.514285714285714,27.485714285714288,13.628571428571428
33.0,Cherry_EC3_HighLight,EC3,high light,27.485714285714288,13.628571428571428,22.158680555555556,79.86423611111111,487.94444444444446,39426.292,11.583333333333334,1357430.1369999999,377.3333333333333,152.64809027777778,266360.74374999997,27.485714285714288,13.628571428571428,27.42857142857143,14.742857142857142
34.0,Cherry_EC3_HighLight,EC3,high light,27.42857142857143,14.742857142857142,21.405555555555555,81.47777777777777,489.16319444444446,32940.591,15.75,1390370.728,393.0833333333333,151.13524305555558,255612.96175,27.42857142857143,14.742857142857142,27.37142857142857,15.857142857142858
35.0,Cherry_EC3_HighLight,EC3,high light,27.37142857142857,15.857142857142858,21.715625000000003,82.24930555555555,496.875,33906.1115,13.916666666666666,1424276.8394999998,407.0,150.17083333333332,251496.10825,27.37142857142857,15.857142857142858,27.314285714285713,16.97142857142857
36.0,Cherry_EC3_HighLight,EC3,high light,27.314285714285713,16.97142857142857,22.107986111111114,77.16180555555555,487.1736111111111,40509.6495,11.416666666666666,1464786.4889999998,418.4166666666667,150.78298611111111,259606.65649999998,27.314285714285713,16.97142857142857,27.257142857142856,18.085714285714285
37.0,Cherry_EC3_HighLight,EC3,high light,27.257142857142856,18.085714285714285,21.691319444444446,81.95763888888888,490.875,31381.06525,17.25,1496167.5542499998,435.6666666666667,151.65625,255047.54025000002,27.257142857142856,18.085714285714285,27.2,19.2
38.0,Cherry_EC3_HighLight,EC3,high light,27.2,19.2,20.50625,88.81840277777778,501.84027777777777,24077.26,18.0,1520244.8142499998,453.6666666666667,151.01354166666667,241453.3675,27.2,19.2,27.442857142857143,18.685714285714283
39.0,Cherry_EC3_HighLight,EC3,high light,27.442857142857143,18.685714285714283,21.10486111111111,86.20659722222223,490.05555555555554,27724.051,17.666666666666668,1547968.8652499998,471.33333333333337,150.6902777777778,229965.02025,27.442857142857143,18.685714285714283,27.685714285714283,18.17142857142857
40.0,Cherry_EC3_HighLight,EC3,high light,27.685714285714283,18.17142857142857,20.468055555555555,78.83680555555556,486.9270833333333,40880.915,10.833333333333334,1588849.7802499998,482.1666666666667,148.99965277777778,231419.64324999996,27.685714285714283,18.17142857142857,27.928571428571427,17.65714285714286
41.0,Cherry_EC3_HighLight,EC3,high light,27.928571428571427,17.65714285714286,19.646875,79.03576388888888,497.8645833333333,33178.80925,13.916666666666666,1622028.5894999998,496.08333333333337,147.24097222222224,231657.8615,27.928571428571427,17.65714285714286,28.17142857142857,17.142857142857142
42.0,Cherry_EC3_HighLight,EC3,high light,28.17142857142857,17.142857142857142,20.10659722222222,79.43680555555555,502.7291666666667,34637.914,14.166666666666666,1656666.5034999999,510.25000000000006,145.63194444444446,232389.664,28.17142857142857,17.142857142857142,28.414285714285715,16.628571428571426
43.0,Cherry_EC3_HighLight,EC3,high light,28.414285714285715,16.628571428571426,19.999652777777776,77.14826388888889,494.40972222222223,40632.032,11.5,1697298.5354999998,521.75,143.5236111111111,232512.0465,28.414285714285715,16.628571428571426,28.657142857142855,16.114285714285714
44.0,Cherry_EC3_HighLight,EC3,high light,28.657142857142855,16.114285714285714,19.943402777777777,78.46770833333333,494.15277777777777,33861.92375,12.583333333333334,1731160.4592499998,534.3333333333334,141.77569444444444,234992.905,28.657142857142855,16.114285714285714,28.9,15.6
45.0,Cherry_EC3_HighLight,EC3,high light,28.9,15.6,20.35,84.24097222222223,496.7916666666667,29000.5295,15.25,1760160.9887499998,549.5833333333334,141.61944444444444,239916.1745,28.9,15.6,28.799999999999997,15.6
